Compound_name,smiles,Molecular_Formula,CAS,InChI_Key,InChI,PubChemID,ID,aliphatic_carboxylic_acids,aliphatic_hydroxyl_groups,aliphatic_hydroxyl_groups_excluding_tert-OH,N_functional_groups_attached_to_aromatics,Aromatic_carboxylic_acide,aromatic_nitrogens,aromatic_amines,aromatic_hydroxyl_groups,carboxylic_acids,carbonyl_O,"carbonyl_O,_excluding_COOH",thiocarbonyl,C(OH)CCN-Ctert-alkyl_or_C(OH)CCNcyclic,Imines,Tertiary_amines,Secondary_amines,Primary_amines,hydroxylamine_groups,XCCNR_groups,"tert-alicyclic_amines_(no_heteroatoms,_not_quinine-like_bridged_N)",H-pyrrole_nitrogens,thiol_groups,aldehydes,alkyl_carbamates_(subject_to_hydrolysis),alkyl_halides,allylic_oxidation_sites_excluding_steroid_dienone,amides,amidine_groups,anilines,aryl_methyl_sites_for_hydroxylation,azide_groups,azo_groups,barbiturate_groups,benzene_rings,benzodiazepines_with_no_additional_fused_rings,Bicyclic,diazo_groups,dihydropyridines,epoxide_rings,esters,ether_oxygens_(including_phenoxy),furan_rings,guanidine_groups,halogens,hydrazine_groups,hydrazone_groups,imidazole_rings,imide_groups,isocyanates,isothiocyanates,ketones,"ketones_excluding_diaryl,_a,b-unsat._dienones,_heteroatom_on_Calpha",beta_lactams,cyclic_esters_(lactones),methoxy_groups_-OCH3,morpholine_rings,nitriles,nitro_groups,nitro_benzene_ring_substituents,non-ortho_nitro_benzene_ring_substituents,"nitroso_groups,_excluding_NO2",oxazole_rings,oxime_groups,para-hydroxylation_sites,phenols,phenolic_OH_excluding_ortho_intramolecular_Hbond_substituents,phosphoric_acid_groups,phosphoric_ester_groups,piperdine_rings,piperzine_rings,primary_amides,primary_sulfonamides,pyridine_rings,quarternary_nitrogens,thioether,sulfonamides,sulfone_groups,terminal_acetylenes,tetrazole_rings,thiazole_rings,thiocyanates,thiophene_rings,unbranched_alkanes_of_at_least_4_members_(excludes_halogenated_alkanes),urea_groups
4-Nitrophenyl isocyanate,C1=CC(=CC=C1N=C=O)[N+](=O)[O-],C7H4N2O3,C100287,GFNKTLQTQSALEJ-UHFFFAOYSA-N,InChI=1S/C7H4N2O3/c10-5-8-6-1-3-7(4-2-6)9(11)12/h1-4H,66012,46650,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrahydrothiophen-3-one,C1CSCC1=O,C4H6OS,C1003049,DSXFPRKPFJRPIB-UHFFFAOYSA-N,InChI=1S/C4H6OS/c5-4-1-2-6-3-4/h1-3H2,61252,43005,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2-Ethylbutyl acetate,CCC(CC)COC(=O)C,C8H16O2,C10031875,HQLKZWRSOHTERR-UHFFFAOYSA-N,"InChI=1S/C8H16O2/c1-4-8(5-2)6-10-7(3)9/h8H,4-6H2,1-3H3",61448,43175,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1-Diethylcyclopropane",CCC1(CC1)CC,C7H14,C1003196,VUROAZUCSQPSOK-UHFFFAOYSA-N,"InChI=1S/C7H14/c1-3-7(4-2)5-6-7/h3-6H2,1-2H3",66086,46723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiophene-2-carbonitrile,C1=CSC(=C1)C#N,C5H3NS,C1003312,CUPOOAWTRIURFT-UHFFFAOYSA-N,InChI=1S/C5H3NS/c6-4-5-2-1-3-7-5/h1-3H,66087,46724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2-(Acetylamino)-2-deoxy-A-D-glucopyranose,CC(=O)NC1C(C(C(OC1O)CO)O)O,C8H15NO6,C10036643,OVRNDRQMDRJTHS-PVFLNQBWSA-N,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8+/m1/s1",82313,60917,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N,N-Diethylethylenediamine",CCN(CC)CCN,C6H16N2,C100367,UDGSVBYJWHOHNN-UHFFFAOYSA-N,"InChI=1S/C6H16N2/c1-3-8(4-2)6-5-7/h3-7H2,1-2H3",60993,42772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boron nitride,B#N,BN,C10043115,PZNSFCLAULLKQX-UHFFFAOYSA-N,InChI=1S/BN/c1-2,66227,46856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-(4-Decylphenyl)-2,2,2-trifluoroethanone",CCCCCCCCCCC1=CC=C(C=C1)C(=O)C(F)(F)F,C18H25F3O,C100444415,GJNWUVBDBVUZKP-UHFFFAOYSA-N,"InChI=1S/C18H25F3O/c1-2-3-4-5-6-7-8-9-10-15-11-13-16(14-12-15)17(22)18(19,20)21/h11-14H,2-10H2,1H3",145364,120004,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4-Amino-6-chloro-2-(methylthio)pyrimidine,CSC1=NC(=CC(=N1)Cl)N,C5H6ClN3S,C1005385,ISUXMAHVLFRZQU-UHFFFAOYSA-N,"InChI=1S/C5H6ClN3S/c1-10-5-8-3(6)2-4(7)9-5/h2H,1H3,(H2,7,8,9)",70496,50799,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3,4-Dihydro-2H-pyran-2-carbaldehyde",C1CC(OC=C1)C=O,C6H8O2,C100732,NPWYTMFWRRIFLK-UHFFFAOYSA-N,"InChI=1S/C6H8O2/c7-5-6-3-1-2-4-8-6/h2,4-6H,1,3H2",60994,42773,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Hydroxybutyrophenone,CCCC(=O)C1=CC=C(C=C1)O,C10H12O2,C1009116,GFBLPULLSAPXDC-UHFFFAOYSA-N,"InChI=1S/C10H12O2/c1-2-3-10(12)8-4-6-9(11)7-5-8/h4-7,11H,2-3H2,1H3",66092,46728,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valerophenone,CCCCC(=O)C1=CC=CC=C1,C11H14O,C1009149,XKGLSKVNOSHTAD-UHFFFAOYSA-N,"InChI=1S/C11H14O/c1-2-3-9-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3",66093,46729,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzenesulfonamide, 4-methyl-N-[4-(phenylamino)phenyl]-",CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)NC3=CC=CC=C3,C19H18N2O2S,C100936,KEZPMZSDLBJCHH-UHFFFAOYSA-N,"InChI=1S/C19H18N2O2S/c1-15-7-13-19(14-8-15)24(22,23)21-18-11-9-17(10-12-18)20-16-5-3-2-4-6-16/h2-14,20-21H,1H3",66856,47446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2,2,4,4,6,6-Hexamethylcyclotrisilazane",C[Si]1(N[Si](N[Si](N1)(C)C)(C)C)C,C6H21N3Si3,C1009934,WGGNJZRNHUJNEM-UHFFFAOYSA-N,"InChI=1S/C6H21N3Si3/c1-10(2)7-11(3,4)9-12(5,6)8-10/h7-9H,1-6H3",66094,46730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Tert-Butyl-5-methylpyrocatechol,CC1=CC(=C(C(=C1)O)O)C(C)(C)C,C11H16O2,C1010997,YKYXORJDSTUCTN-UHFFFAOYSA-N,"InChI=1S/C11H16O2/c1-7-5-8(11(2,3)4)10(13)9(12)6-7/h5-6,12-13H,1-4H3",66095,46731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-(2-Hydroxyethyl)quinoline,C1=CC=C2C(=C1)C=CC(=N2)CCO,C11H11NO,C1011503,VPDAGUVEZGEHJJ-UHFFFAOYSA-N,"InChI=1S/C11H11NO/c13-8-7-10-6-5-9-3-1-2-4-11(9)12-10/h1-6,13H,7-8H2",70532,50832,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyoscyamine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,C17H23NO3,C101315,RKUNBYITZUJHSG-VFSICIBPSA-N,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15?,16-/m1/s1",154417,126959,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-(2-Ethylhexyl)aniline,CCCCC(CC)CNC1=CC=CC=C1,C14H23N,C10137801,GXFHZISVUPJOCI-UHFFFAOYSA-N,"InChI=1S/C14H23N/c1-3-5-9-13(4-2)12-15-14-10-7-6-8-11-14/h6-8,10-11,13,15H,3-5,9,12H2,1-2H3",61484,43206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Propanesulfonyl chloride,CCCS(=O)(=O)Cl,C3H7ClO2S,C10147361,KPBSJEBFALFJTO-UHFFFAOYSA-N,"InChI=1S/C3H7ClO2S/c1-2-3-7(4,5)6/h2-3H2,1H3",66279,46902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Dodecanesulfonyl chloride,CCCCCCCCCCCCS(=O)(=O)Cl,C12H25ClO2S,C10147407,PBULHKIPTBIZHO-UHFFFAOYSA-N,"InChI=1S/C12H25ClO2S/c1-2-3-4-5-6-7-8-9-10-11-12-16(13,14)15/h2-12H2,1H3",66280,46903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Octadecane-1-sulphonyl chloride,CCCCCCCCCCCCCCCCCCS(=O)(=O)Cl,C18H37ClO2S,C10147418,VDRWNKIQBYUKGD-UHFFFAOYSA-N,"InChI=1S/C18H37ClO2S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(19,20)21/h2-18H2,1H3",66281,46904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3-(Trifluoromethoxy)benzoic acid,C1=CC(=CC(=C1)OC(F)(F)F)C(=O)O,C8H5F3O3,C1014819,OKPFIWIMBJNFSE-UHFFFAOYSA-N,"InChI=1S/C8H5F3O3/c9-8(10,11)14-6-3-1-2-5(4-6)7(12)13/h1-4H,(H,12,13)",66096,46732,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bis[4-(1,1,3,3-tetramethylbutyl)phenyl] ether",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OC2=CC=C(C=C2)C(C)(C)CC(C)(C)C,C28H42O,C101586,AJDONJVWDSZZQF-UHFFFAOYSA-N,"InChI=1S/C28H42O/c1-25(2,3)19-27(7,8)21-11-15-23(16-12-21)29-24-17-13-22(14-18-24)28(9,10)20-26(4,5)6/h11-18H,19-20H2,1-10H3",66867,47457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Nitroveratryl alcohol,COC1=C(C=C(C(=C1)CO)[N+](=O)[O-])OC,C9H11NO5,C1016586,WBSCOJBVYHQOFB-UHFFFAOYSA-N,"InChI=1S/C9H11NO5/c1-14-8-3-6(5-11)7(10(12)13)4-9(8)15-2/h3-4,11H,5H2,1-2H3",66097,46733,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Chlorobenzophenone,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)Cl,C13H9ClO,C1016780,CPLWKNRPZVNELG-UHFFFAOYSA-N,InChI=1S/C13H9ClO/c14-12-8-4-7-11(9-12)13(15)10-5-2-1-3-6-10/h1-9H,66098,46734,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-[4-(Phenylthio)phenyl]ethan-1-one,CC(=O)C1=CC=C(C=C1)SC2=CC=CC=C2,C14H12OS,C10169558,XUDYHODVSUXRPW-UHFFFAOYSA-N,"InChI=1S/C14H12OS/c1-11(15)12-7-9-14(10-8-12)16-13-5-3-2-4-6-13/h2-10H,1H3",66287,46910,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-Cyclohexyl-N-phenyl-p-phenylenediamine,C1CCC(CC1)NC2=CC=C(C=C2)NC3=CC=CC=C3,C18H22N2,C101871,ZRMMVODKVLXCBB-UHFFFAOYSA-N,"InChI=1S/C18H22N2/c1-3-7-15(8-4-1)19-17-11-13-18(14-12-17)20-16-9-5-2-6-10-16/h1,3-4,7-8,11-14,16,19-20H,2,5-6,9-10H2",92093,69112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
